"sunkDV" "sunkgroup" "Imagineddv" "ContactGroup" "flagdv" "flagGroup" "us_or_international" "Sysjust" "MoneyGroup"
9 1 6.25 1 2.375 NA 0 2.25 0
9 0 4.5 1 3.25 0 0 2.75 0
9 1 5 1 2.125 1 0 3.125 0
9 1 3.25 1 3.125 0 0 4.5 0
9 1 3 0 3.375 0 0 5.375 0
4 1 5.5 1 2.625 1 0 2.75 0
9 0 1 0 5.125 0 0 2.875 0
9 0 4 0 3.75 0 0 3.625 0
3 0 3.25 1 3.5 0 0 2.75 1
9 1 4 0 2.75 0 0 4 0
9 1 3.25 1 2.75 0 0 4.625 1
9 1 3.75 0 3.25 0 0 5.125 0
9 1 7.5 0 2.375 0 0 3.75 0
7 1 1.5 0 3.875 1 0 3.25 0
9 0 3.5 0 3 0 0 2.875 0
9 1 4 0 3.25 1 0 5.25 1
9 0 4.5 1 3 0 0 4.5 0
3 1 5.25 1 2.42857142857143 1 0 2.75 0
9 0 6 1 4 0 0 3.125 0
9 1 5.75 0 3 0 0 2.125 1
3 1 6.5 1 1.5 0 0 2.625 1
9 0 3.5 0 3 1 0 3.75 0
9 1 4 1 2.375 0 0 4 0
8 1 6.5 1 2.5 1 0 3.125 1
7 1 8.5 1 3.875 1 0 1.375 1
9 1 4.25 1 2.625 0 0 4 0
9 0 5.75 0 2.5 0 0 4.5 1
9 0 1.5 0 3.125 0 0 3.375 0
9 1 5 1 3.25 0 0 4.625 1
9 0 6.25 0 2.5 0 0 3 0
9 0 8.5 1 2.125 1 0 4.75 0
9 0 4.25 1 4.125 0 0 3.5 0
8 1 7.75 0 2.5 0 0 4 0
9 1 3.75 0 2.875 0 0 4.125 0
9 1 5 1 2.125 1 0 4.75 0
5 1 4.25 0 3.375 1 0 3.75 0
8 1 4.5 0 2.875 1 0 2.875 1
9 1 6 0 3.25 0 0 3.125 1
9 1 2.5 1 3.25 0 0 3.25 1
9 1 5 0 3.875 1 0 4.875 0
9 0 2.5 0 2.75 1 0 2.75 0
5 1 3.75 0 3 1 0 4.75 0
6 0 5 0 2.125 1 0 2.625 1
9 1 3.25 1 3.25 1 0 3.875 0
9 0 4.5 1 3.25 1 0 2.875 1
9 1 4.75 0 1.875 1 0 3.75 0
8 1 6 1 3.125 1 0 3.625 1
9 1 4.75 0 2.875 0 0 3.75 0
9 0 6.5 0 2.75 0 0 4.125 1
9 1 6 1 3.625 0 0 2.875 1
7 1 5 0 2.25 1 0 2 1
8 1 2.5 0 4.5 0 0 4.75 1
8 0 9 1 3.5 1 0 4 0
9 1 4.5 1 2.75 1 0 4.875 1
9 0 3 0 3 0 0 4.875 1
6 0 6.75 1 5.25 1 0 2.75 1
9 1 5.75 0 4.125 0 0 3 0
9 1 7 1 1.5 1 0 1.875 0
9 1 1.75 1 3.125 0 0 4 0
7 0 5.75 1 2.625 0 0 3.125 0
9 0 1 0 3 1 0 2.625 0
7 1 6 1 2 1 0 3.5 0
5 1 8.25 1 2.125 1 0 2.25 0
9 1 5.25 0 3 1 0 3.625 1
7 0 5 1 1.875 1 0 2.375 0
9 0 5.75 0 2.5 0 0 4.125 0
9 1 5.25 1 2 1 0 3.5 1
9 0 4.75 0 3 1 0 4 1
9 1 1.75 1 4.375 1 0 3.875 0
9 0 7 0 4.625 1 0 3.125 1
9 0 2.75 1 4.5 0 0 4.625 0
9 0 4.5 0 3.375 0 0 3.5 0
9 0 6.75 1 3.875 0 0 2.75 1
9 1 6.75 1 2.5 0 0 4.375 1
9 1 5.5 0 1.75 0 0 3.875 0
8 1 3.75 0 3.125 0 0 5.25 0
9 1 2.75 0 4.875 0 0 4.125 0
7 1 3.5 1 4.875 1 0 4.125 1
9 1 4.25 1 3 1 0 4.375 1
9 0 4 0 3.375 1 0 4.125 0
9 1 5 0 3.125 1 0 3.625 1
5 1 8.5 1 1.5 1 0 1.5 1
8 1 4.5 1 2.75 0 0 3.875 1
4 1 5.5 1 3.5 0 0 3.75 1
9 0 5.75 1 2.625 0 0 3.75 0
8 0 5 1 2.875 1 0 4.375 0
9 0 5 0 2.875 1 0 4.625 0
9 1 5.5 1 2.125 0 0 4 1
2 0 3.5 1 2.75 0 0 4.375 1
7 0 4.25 0 4.75 0 0 2 0
9 0 3.5 0 2.625 1 0 2 0
9 0 1.75 0 5.125 0 0 3.125 0
6 1 5.25 0 2.125 1 0 2.75 0
3 1 3 0 3.875 0 0 3.125 0
6 1 5.5 1 2.625 1 0 3 0
7 1 4.75 0 2.625 1 0 4 1
2 1 4.25 0 2.75 0 0 3.75 1
9 0 5.75 0 3 0 0 3.5 1
2 1 6.5 1 2.875 0 0 5 1
7 0 3.5 0 2.125 0 0 3 1
8 0 1.75 0 5.125 0 0 4.25 0
9 1 8.25 1 3 0 0 2.125 0
9 1 5.25 1 1.875 0 0 3.5 1
9 0 1.25 1 3.375 0 0 3.5 0
9 1 2 0 3.125 1 0 4.375 1
9 0 7 1 2.625 0 0 4.5 1
9 1 6.25 1 2.25 1 0 2.5 1
9 1 3.5 0 4.5 0 0 4.125 1
9 0 2.75 0 4.375 1 0 2.875 1
9 0 4.5 1 4.125 1 0 3.375 1
9 0 5 1 2.875 0 0 6 1
9 0 4.5 1 4 1 0 2.75 0
9 0 8.25 1 2.875 1 0 2 1
9 1 2.5 0 3.5 0 0 3.125 1
9 0 2 1 3.25 NA 0 1.875 0
9 1 3.75 1 3.375 0 0 4.75 0
9 0 3.5 1 3.25 1 0 4.75 0
9 1 5.5 0 3.25 0 0 4.5 0
7 1 2.75 1 4.25 0 0 5 0
9 1 2.5 1 2.75 1 0 4.125 1
9 0 2 1 2.75 1 0 3.75 0
2 1 5.5 0 2.375 0 0 3.375 1
9 1 4 1 3.875 1 0 3.125 0
9 1 3 0 2.625 1 0 2.75 1
7 0 7.25 0 2.5 0 0 2.125 1
5 0 1.75 0 2.75 0 0 5 0
9 0 4 0 3.5 0 0 4.5 0
9 1 4 1 4.625 1 0 3.375 1
4 1 2.25 1 3.125 1 0 3.875 0
9 0 8.5 1 1.5 1 0 3.125 0
8 1 5.5 1 2.875 1 0 4.5 1
9 1 4.5 1 3.625 0 0 3.625 0
9 0 6.75 1 2.28571428571429 1 0 3.25 1
9 1 5.25 1 1.875 0 0 3.125 0
9 0 6.5 0 2.75 1 0 3.875 0
9 0 4.5 1 3.375 1 0 5 1
7 0 8 1 2.125 0 0 4.125 1
9 1 5.25 1 2.25 1 0 3.125 0
8 0 6.75 1 2.5 0 0 3.5 0
9 0 5.5 1 3.125 0 0 3.5 1
8 0 3.5 0 2.625 0 0 3.375 1
7 1 5.75 0 5.875 1 0 3.75 0
9 0 6.5 0 2.25 1 0 4.625 1
8 0 6.25 0 4.125 1 0 3.625 1
7 1 4.5 1 3 1 0 3.375 1
9 1 3 1 5 NA 0 3.875 1
9 0 1.75 0 3.75 0 0 5.625 1
6 1 4.5 1 2.875 1 0 2.75 1
8 1 4 1 3 1 0 3.625 1
9 1 5.75 1 3.25 1 0 5.375 1
9 1 1 1 5.125 1 0 5.125 1
6 1 5.75 0 3.125 0 0 3.5 1
9 0 3.75 0 4.75 1 0 3.625 0
8 1 3.5 1 4.375 1 0 4 0
9 0 6.75 0 3.25 1 0 5 0
9 1 5.75 1 3 1 0 4.375 1
9 0 3.75 0 3.375 0 0 3.75 1
9 0 2 1 3 0 0 5 0
4 0 3 1 3 1 0 4.75 0
9 1 5 0 3.75 0 0 5.5 1
9 0 2.5 0 4.875 1 0 3.57142857142857 1
9 0 7.75 1 3 0 0 4.5 0
9 1 4.25 0 4 1 0 2.875 1
9 1 7 0 5.375 0 0 2.625 0
8 1 4.5 1 2.25 1 0 4.5 1
9 1 6.25 1 2.75 1 0 3.75 1
9 0 4.75 1 3 1 0 4.375 1
1 1 4.5 0 3.375 0 0 3.625 0
9 1 2.5 0 2.625 0 0 3.75 0
9 0 3.75 1 4.375 0 0 4 0
9 1 5 0 4 1 0 3.875 0
7 0 2.5 1 3.625 1 0 3.875 0
9 1 7.5 1 2.5 1 0 3.875 1
8 1 6.5 1 2.875 1 0 4.875 0
7 1 5.25 0 4 0 0 4.75 0
9 0 2.25 0 4 1 0 3.25 0
9 0 5.25 1 2.5 0 0 4.125 0
9 0 7.25 1 3.5 0 0 3.875 0
6 1 4.5 1 4.875 1 0 4.125 0
7 1 4.75 1 3.875 0 0 3.625 0
9 0 5.75 0 3.125 1 0 4.375 0
9 0 4 0 4.625 0 0 5 0
9 0 7.25 1 3.875 0 0 6.25 1
9 1 5.75 1 3.375 1 0 3.5 0
9 1 5.75 0 2.375 0 0 4.125 0
9 0 5.25 0 1.75 0 0 3.125 0
8 1 4.25 1 3 0 0 5.125 0
8 1 6.25 0 3.25 0 0 3.875 0
9 1 2.25 1 5.42857142857143 0 0 4.57142857142857 1
9 0 4.25 1 3.875 1 0 4.375 1
9 0 3.5 1 3.5 0 0 3.5 0
7 1 4.25 1 4.75 1 0 4.125 1
9 0 5.25 1 2.875 0 0 4.875 1
7 0 7.25 0 3 0 0 6.5 1
7 1 8.25 0 2.375 0 0 3.375 0
9 0 2.75 0 3.875 0 0 4.25 1
9 0 4 1 3.125 1 0 3.875 1
9 1 2 0 4 1 0 3.5 0
9 1 3 1 2.625 1 0 4.25 1
9 0 4.75 1 4.25 0 0 3.125 1
9 0 5.75 1 2.875 1 0 4.25 1
9 1 6.25 0 3.125 0 0 4.125 1
7 1 2.5 0 2.875 1 0 3.5 1
9 0 4.5 1 5 0 0 4 0
9 0 2.75 1 4.75 1 0 4.5 0
7 1 3.5 1 2.875 0 0 3.25 1
9 0 1.25 1 2.75 0 0 3.875 0
9 1 1.25 0 4.25 0 0 4 1
6 1 9 1 3.875 1 0 3 0
9 1 3 1 5.125 1 0 5.875 1
9 0 5.25 0 3.375 1 0 4.625 1
1 1 4 1 5 0 0 1.875 1
9 1 1.75 0 3.875 0 0 3.625 1
3 1 4.75 0 2.375 1 0 3.5 0
9 0 6 1 3.625 0 0 4.75 1
9 1 3 0 3.5 0 0 3.875 0
8 1 3 0 4.25 0 0 3.625 0
8 1 3.5 0 2.75 0 0 4.875 0
4 1 1.5 1 3.14285714285714 1 0 4.25 1
9 0 2 0 3.5 1 0 3.875 1
9 1 1.75 1 4.75 0 0 4 1
1 1 7 0 3.125 1 0 5.75 0
8 0 5.5 1 3.125 0 0 4 0
9 1 4.75 0 4.125 0 0 3 1
9 1 6.25 1 2.125 0 0 2.625 0
8 0 6 0 2.5 0 0 4.625 1
7 0 1.25 0 4 1 0 3.625 1
9 0 2 0 3.5 0 0 5.125 1
9 1 8.5 0 1.875 1 0 2.25 1
8 0 4.25 1 3.875 1 0 4.375 0
9 0 3.5 0 3.5 0 0 4 1
8 0 2.5 1 4.875 1 0 3.75 0
8 0 5 0 2.5 0 0 4.375 0
7 1 5 0 3.125 0 0 4.375 1
9 1 3.5 0 3.875 0 0 3 1
4 1 2.75 1 4.125 1 0 5.375 1
9 0 5.25 1 4.375 1 0 4.375 1
6 1 5 1 3.125 0 0 3.625 1
9 1 3.5 0 5.125 0 0 4.125 1
9 0 4.25 1 3.5 1 0 3.25 0
5 1 2 1 3.25 1 0 4.125 0
9 0 5 1 3.625 1 0 5.5 1
9 0 3.75 1 1.75 1 1 3.375 0
5 0 4.25 0 2.375 0 1 3 0
6 1 6.75 1 3.125 0 1 3.75 0
7 0 5.75 1 3.375 1 1 2.375 1
7 0 5.25 1 3 0 1 2.125 0
9 0 6.75 1 1.42857142857143 0 1 2.75 0
6 0 6 1 2.75 0 1 2.75 1
9 0 6.25 1 2.25 0 1 1 1
3 0 5 1 1.125 0 1 1.75 0
9 0 5 1 3.375 0 1 4.375 0
1 1 4.5 0 2.625 0 1 3.5 0
9 0 5.75 1 2.125 0 1 1.875 0
9 0 5 0 2.875 1 1 4.625 0
7 1 4 0 3.5 NA 1 2.14285714285714 1
2 0 7 0 2.25 0 1 2.625 1
6 1 3.75 0 2 1 1 1.75 1
6 1 6.75 1 2.625 0 1 2.75 1
3 1 6.75 0 3.375 1 1 2.5 1
6 1 2.5 1 2 1 1 2.875 1
9 0 4.75 1 2.625 0 1 2 0
8 1 6.75 1 1.75 0 1 3.375 0
1 1 8 0 2.875 0 1 2.5 1
7 0 3.75 1 3.875 1 1 4.625 1
9 1 4.25 0 2 0 1 2.375 1
1 1 6.75 1 3.625 0 1 2.25 0
7 0 4.5 1 3.375 0 1 2.375 0
8 1 9 1 1.625 1 1 1.875 1
9 1 2.75 1 2.75 0 1 4 0
9 1 4 1 4.625 1 1 4.375 1
9 1 5.75 0 2.125 0 1 2.71428571428571 1
9 1 7 0 2.125 0 1 2.5 1
6 1 6.25 0 1.75 1 1 2.25 1
7 0 8 1 2.875 1 1 2.85714285714286 1
7 1 6.75 0 3 0 1 1.875 0
9 0 4.5 1 2.375 1 1 3.5 0
9 0 5.5 1 1.625 1 1 1.5 1
9 1 5.5 0 1.875 0 1 2.5 1
7 1 5.25 1 1.75 0 1 2.375 0
8 1 8 0 2.125 0 1 2.625 1
3 1 5.25 0 3.125 0 1 3.25 0
7 1 4.75 0 2.875 0 1 2.5 1
3 1 4.75 0 1.875 0 1 1 0
4 1 3.75 1 2.75 0 1 2.25 1
6 1 7 0 2.875 1 1 3.125 1
6 1 4.75 0 3.125 0 1 2.5 0
9 1 5.5 0 2.125 1 1 3.25 1
2 1 4.25 1 2.375 1 1 2.25 0
9 1 3.75 0 2.5 1 1 1.375 1
1 1 3.25 1 2.625 0 1 1.75 1
9 0 6.5 1 3.5 1 1 2.28571428571429 0
9 0 6 0 3.75 0 1 2.625 0
9 1 5.75 1 2.5 0 1 2.875 1
8 0 6 1 2.75 1 1 2.25 0
6 1 5.75 0 3.375 1 1 2.125 0
9 1 2.75 0 4.125 1 1 3.5 0
9 0 6.25 0 2.375 1 1 2.75 1
6 1 2.75 0 1.875 0 1 2.25 0
7 0 3.5 1 2.5 0 1 4.125 1
3 1 3 1 4.75 1 1 1.71428571428571 1
9 1 8 0 2.75 0 1 2.875 0
6 1 5.75 1 2.25 1 1 1.5 1
9 1 5.5 0 2.375 0 1 2.125 0
8 0 4.25 0 2.375 1 1 2.625 0
9 0 7 1 3.125 NA 1 2.625 0
6 1 4 0 3.25 0 1 3.25 0
9 0 2.5 1 2.25 1 1 2.125 0
7 0 5.25 0 3 0 1 2.875 0
8 0 6 1 2.375 0 1 2.5 0
9 1 6.25 0 2.25 1 1 2.125 1
6 0 7.25 1 2.5 1 1 4.5 0
3 1 4.5 1 3.125 0 1 3 1
6 0 4.25 0 2.875 0 1 2.125 1
9 1 5.75 1 2 1 1 2.625 0
8 1 5.5 1 3.125 1 1 2.375 0
9 1 4.25 0 2.875 0 1 2.625 0
9 1 5 1 2.375 1 1 2.125 1
9 0 5.5 0 3 1 1 1.75 0
7 0 5.5 0 3.375 0 1 2.625 0
9 0 5.25 1 2.25 1 1 2.5 0
9 0 5.75 0 3 1 1 2.625 0
5 0 6.25 0 1.75 0 1 4.25 1
4 1 7.25 0 2.375 1 1 1.875 1
5 0 8 1 2.625 1 1 2 0
6 0 5.5 0 2.625 NA 1 3.375 1
6 1 6.5 0 2.5 1 1 4.5 0
9 1 5 1 2.375 0 1 2.5 0
7 0 4.75 0 2.375 1 1 2.25 0
1 1 3 1 2.75 1 1 2.125 0
9 0 6.25 0 3 0 1 2.375 1
3 0 5.5 0 2.5 0 1 2.75 1
9 1 3.75 0 3.375 0 1 2 0
9 0 5 1 3.375 1 1 4.375 1
9 1 7.5 1 2.75 1 1 1 1
9 0 8.25 1 2.875 0 1 2.875 0
9 1 6.75 0 2.125 1 1 2.875 0
9 0 5 0 2.375 1 1 3.125 1
8 0 7.75 0 2.25 1 1 3 1
9 0 9 1 1.75 0 1 2.625 1
7 0 6.25 1 2.625 1 1 2 1
9 0 5 1 2 0 1 1.125 1
9 1 5 0 1.75 1 1 1.75 1
9 1 5.25 0 3 0 1 2.375 1
9 0 7.25 0 1.25 1 1 1.875 0
5 1 7.25 0 2.375 0 1 2.5 0
9 0 5 1 2.875 1 1 3 1
9 0 4.75 0 3 1 1 2.75 0
1 1 4.25 1 4 1 1 2.75 1
7 1 6 1 1.875 1 1 2.125 1
9 1 6.25 0 4 0 1 3.75 1
9 0 1.75 1 3.75 1 1 4.875 1
9 1 4 1 2.125 0 1 2.25 1
9 1 3.5 1 4 1 1 2.5 1
9 0 5.25 1 2.42857142857143 1 1 2.625 1
7 1 1.75 1 2.625 1 1 3.625 1
1 1 8.75 1 2.625 1 1 2.5 1
9 1 1.25 0 2 0 1 4.625 1
7 0 2.5 1 2.75 1 1 4.875 0
7 0 2 0 3.625 1 1 5.375 1
9 0 5 0 4.875 0 1 3.375 1
7 0 2.5 1 2.5 0 1 3.25 0
9 0 3.5 1 3.25 1 1 5.625 0
9 1 5 1 3.75 0 1 3.75 1
9 0 4.5 0 2.75 0 1 5.75 1
9 0 4.5 0 3.125 1 1 4.875 1
9 0 1.5 1 3.375 0 1 4.875 0
9 1 4.5 1 4.25 0 1 6.125 0
6 1 5.75 1 3.375 1 1 4.375 0
8 0 7.25 1 1.5 1 1 4.75 0
9 1 4 0 2.5 0 1 4.125 0
9 0 5.5 1 3.25 0 1 3.875 1
9 1 6.75 1 3 1 1 4 0
9 1 8 0 1.75 0 1 5.625 1
9 1 5.75 0 2.25 1 1 5.875 0
9 0 3.5 0 3.5 0 1 3.5 0
8 1 6.25 0 2.875 0 1 4.75 0
9 0 7 0 2.375 0 1 4.625 0
9 0 5.75 0 2.25 0 1 5.125 1
9 0 7.5 0 3 1 1 5.125 1
9 0 1.75 1 1.5 1 1 6 1
9 1 2.5 1 3.375 1 1 4.125 1
9 0 4.5 1 2.625 1 1 3.5 1
9 0 8 0 2.25 0 1 5 0
9 0 5 1 2.75 0 1 3.75 0
6 0 2.25 1 3.5 1 1 4.25 0
7 1 6 1 3.5 0 1 4.5 0
9 0 9 0 4.75 0 1 2.5 1
9 0 2.75 0 3 0 1 5.5 1
2 1 5 0 1.75 1 1 4.75 0
8 0 7 1 3.375 1 1 4.875 0
9 1 5.25 1 3.625 1 1 4.375 1
9 1 2.25 1 4.375 1 1 3.5 1
9 1 5.5 0 2.75 1 1 3.375 1
9 1 2.5 0 2.75 0 1 6.125 1
9 0 4.25 0 2.5 1 1 4.125 1
7 0 6 1 2.625 1 1 4.375 1
9 0 5.5 0 3.25 0 1 3.875 0
9 1 5.5 0 3.25 0 1 4.125 1
8 1 7 0 3.125 1 1 5.125 0
9 0 7.75 0 3 0 1 5.25 0
9 1 6.75 1 1.875 0 1 5 0
9 1 4.25 0 2.75 1 1 4.5 1
9 0 7.25 0 2.25 1 1 5.375 1
8 1 4 0 3.25 1 1 3.5 1
9 1 9 0 2.875 NA 1 4 0
6 1 8 1 2.42857142857143 1 1 4.25 1
9 0 5 0 4 1 1 4.625 0
7 0 5.75 1 2.625 0 1 3.875 0
8 0 4 1 3.375 0 1 5.375 1
9 1 4.25 1 3.625 1 1 3.5 0
9 1 2.5 0 3.625 1 1 4.75 1
9 1 3 1 2.625 0 1 4.5 0
9 1 3.5 0 3.14285714285714 1 1 5.375 0
9 0 2 0 3.125 1 1 5 0
9 1 8.5 1 2.875 0 1 4.625 1
7 0 5.5 1 4.25 1 1 4.625 0
7 0 5 1 3.875 0 1 3.25 1
9 1 5 0 3 1 1 4.125 1
8 1 4.25 1 2.875 1 1 3.875 1
9 0 8.25 1 1.875 1 1 4.5 0
9 0 5.25 0 2.375 0 1 3.5 0
5 1 5.5 1 2.5 1 1 4.5 1
9 0 3.5 1 3.25 1 1 4.75 1
9 1 5 0 3 0 1 4.75 1
9 0 5 1 2.71428571428571 1 1 4.75 0
8 0 8.25 1 2.5 1 1 5.625 0
9 1 4.25 0 3.125 0 1 5.125 1
9 0 8.75 1 2 0 1 3.125 0
9 1 8.25 0 3 1 1 2.875 0
7 0 3.5 1 2.375 0 1 4.75 1
5 0 2.75 0 2.25 0 1 4.75 1
1 1 3 1 2.25 1 1 4 0
9 0 8.75 0 2.375 1 1 2.875 1
8 0 4.5 1 3.25 1 1 4.75 0
7 1 5.5 1 2.75 1 1 6 0
9 0 5.75 1 2.125 1 1 5.5 0
3 1 2.25 0 2.5 1 1 4.5 1
6 1 3 0 3.125 0 1 5.625 1
5 1 2.75 0 2.75 0 1 4.375 0
9 0 4.5 1 2.25 0 1 5.375 1
6 1 8.75 0 3 1 1 4.125 1
7 1 3.75 0 3.75 0 1 5.5 0
7 1 5.75 1 2.5 1 1 3.375 0
4 1 3.5 0 3 1 1 4.75 0
9 1 5.75 1 2.625 1 1 5 1
9 1 5.25 1 3.125 1 1 5.375 0
9 0 3.5 1 2.125 0 1 4 0
9 0 6 1 2.5 0 1 4.5 1
5 0 2.5 0 4.625 1 1 4.125 1
9 0 8 1 3.875 0 1 3.5 1
9 1 5 0 2 0 1 5.625 0
8 1 5.75 1 3.125 0 1 3.75 1
9 0 8.25 0 2.5 1 1 3.375 0
9 0 4.5 1 2.75 1 1 3.75 0
9 0 6 1 2.5 0 1 4.25 1
9 1 5.75 0 2.625 0 1 5.25 0
7 1 4 1 3.25 1 1 4.125 0
7 1 4.75 0 3.75 0 1 5 0
9 0 2 0 2.125 0 1 4 1
6 0 3 0 3.25 0 1 5.25 1
9 1 3.5 0 2.875 0 1 5 1
9 0 2.75 0 2.125 0 1 3.25 0
2 1 1.5 1 1.875 0 1 4.625 1
8 1 4.75 1 2.25 1 1 4.375 1
9 1 4 0 2.75 0 1 5 0
9 1 7 0 3 1 1 4.25 1
9 0 5 0 2.25 0 1 3.875 0
9 0 5 0 2.25 1 1 2.875 1
9 0 7.75 1 2 1 1 2.25 1
9 0 6.75 0 2 1 1 4.75 1
9 0 4.25 0 1.375 1 1 3.875 0
9 1 3.25 0 2.75 1 1 3.375 1
9 1 1.75 1 1.75 0 1 3.75 0
9 1 6 1 2.5 0 1 4.25 0
9 1 9 0 2.375 0 1 3.75 1
9 1 5 0 3.5 1 1 3.625 0
7 1 8 1 2.625 0 1 3.25 1
6 1 2.5 0 2.75 1 1 3 1
9 0 6.5 1 2 1 1 4.375 0
9 0 7.75 1 1.875 1 1 3.625 1
8 0 1.25 0 1 0 1 2.625 0
8 0 3.5 1 2.375 1 1 3.5 0
6 0 6.5 0 3 0 1 3.375 1
9 0 2 0 2.875 1 1 4.125 0
9 0 6.75 1 2.375 1 1 3.14285714285714 0
9 0 7 1 2.125 0 1 2.875 0
9 0 9 1 3.75 0 1 3.5 0
9 1 3.5 0 3.75 0 1 3.875 0
1 0 5 0 3.25 0 1 4.25 1
7 0 4.75 1 3.75 1 1 4 0
5 1 3.25 1 2.375 0 1 4.125 1
9 0 4 1 1.625 0 1 3.125 1
7 1 1 0 3 0 1 4.125 1
9 0 7.25 1 3.375 0 1 1.875 0
9 1 6.25 0 3 1 1 4.75 0
9 1 5.75 0 2.875 1 1 5.375 1
8 0 5 0 2.125 0 1 4.375 0
9 1 7.5 0 1.625 0 1 3.5 0
9 1 3.25 0 2.25 0 1 2 1
6 1 2.75 0 3.875 NA 1 4.875 0
9 0 5.25 1 3.25 1 1 3.75 1
9 1 5.5 0 3.25 1 1 3.375 0
9 0 8.75 1 3.625 0 1 3.875 0
7 1 1.75 1 2.42857142857143 1 1 5 0
7 1 3.25 1 3.375 0 1 4.125 1
9 1 4.5 0 2 0 1 3.125 1
9 1 6.5 0 3.125 0 1 3.75 1
9 0 4.25 1 2.375 0 1 4.75 0
9 0 4 0 2.5 1 1 2.875 1
9 0 5.25 0 3.5 0 1 3.625 1
9 1 7.75 1 1.75 0 1 2.375 1
3 1 6.5 0 2.625 0 1 3.375 0
8 1 4.25 1 2.375 0 1 4.375 0
9 0 4.5 0 2.75 1 1 4 0
9 1 5.25 0 2.625 0 1 5.375 0
9 1 4.5 1 3.625 0 1 3.25 0
9 0 6.25 1 2.5 0 1 5 1
9 1 5.5 0 1.875 0 1 3.25 0
9 0 6.75 1 2.875 0 1 5 0
9 0 5.25 1 2.75 0 1 4.125 0
9 0 4 1 1.25 1 1 3.125 0
9 1 4 1 1.75 0 1 5.125 0
6 0 6.25 1 2.875 1 1 4.125 1
9 0 2.75 0 2 1 1 2.875 1
8 0 6 0 2.625 0 1 3.375 0
6 1 2.75 0 2.375 0 1 3.875 0
9 1 5 0 3.375 1 1 4 0
9 1 3.75 1 2.875 0 1 4.125 0
9 1 6 1 3 0 1 4.875 0
9 1 6.5 1 1.625 1 1 4 0
9 1 8 1 1.375 0 1 2.375 1
9 0 5.5 1 2 1 1 3.625 1
9 0 6.5 1 1.625 0 1 2.5 0
9 0 9 0 4.125 0 1 5.625 1
6 1 7.5 0 1.75 1 1 2.71428571428571 1
7 1 4 1 3.625 0 1 4.75 0
8 1 3.75 0 2.75 0 1 3.375 0
6 0 5.25 0 3.625 1 1 4.5 0
9 1 5.75 1 2.125 1 1 3.25 0
8 1 6.5 1 3.625 1 1 3.5 1
8 0 4.75 1 3 0 1 2.625 1
9 0 6.25 1 1.5 0 1 2.625 0
7 1 5.75 1 2.125 0 1 3.875 1
9 0 4 1 2.75 1 1 3 0
1 0 4 1 3.125 0 1 4.875 1
1 1 9 0 4 0 1 5.125 0
5 0 5.75 0 2.5 1 1 4.125 0
7 1 8 0 2.875 0 1 4.28571428571429 1
7 0 5.5 0 3.25 0 1 3.75 0
7 0 3.25 0 2.75 0 1 5 0
9 0 4.25 0 2.5 1 1 3.5 1
9 1 8 1 2.25 0 1 2.625 1
8 0 3 0 3.25 0 1 3.5 1
7 1 9 0 5.375 1 1 3.875 1
8 1 1.75 0 2.5 1 1 4 1
8 1 4 0 1.875 0 1 3.375 0
7 0 3.25 0 3.125 0 1 2.5 1
9 0 5.25 1 3.125 0 1 4 0
9 0 6.25 0 2.875 1 1 5.125 0
9 0 2.75 0 3.75 1 1 4.75 0
7 1 6.25 1 3 1 1 4.625 0
9 0 3.25 0 2.75 0 1 3.375 1
9 0 4.5 1 2.75 0 1 2.25 1
7 1 5.25 1 2.5 1 1 4.5 0
1 1 6.75 1 3.75 0 1 4.25 0
7 1 5.5 0 1.375 1 1 3 1
7 1 7.5 0 3.75 1 1 2.75 1
6 1 2 1 3 1 1 3.125 1
7 0 4.5 0 3.25 1 1 4.5 1
6 0 3.5 1 3.25 0 1 4 1
9 0 5.25 1 2.75 0 1 5.25 1
1 1 7 1 2.25 1 1 5.75 1
7 1 3 0 2.5 0 1 3.625 1
7 0 3.25 0 3 1 1 4.625 1
9 0 7 0 1.5 1 1 2.875 0
6 1 6.75 0 2.625 0 1 2.75 0
9 0 5.5 0 2.375 1 1 3 0
9 0 5 1 3.375 0 1 3.75 0
9 0 3 0 1.375 0 1 3.75 0
9 1 8.25 0 1.625 0 1 2 1
9 0 6.5 0 2.875 0 1 4.75 0
9 0 6.25 1 2.125 1 1 2.5 0
7 0 4 1 3 0 1 3.25 0
9 0 5.25 1 2.5 0 1 4.125 1
5 0 4.75 1 2.125 0 1 3.71428571428571 1
9 0 5.5 1 3.625 0 1 3.25 1
9 1 5.75 1 2.875 1 1 4.125 1
9 0 2.5 1 2.25 1 1 5.625 0
4 1 5.75 1 3 1 1 3.375 0
9 0 4 1 1.75 1 1 2.625 0
9 1 5.75 1 2.375 0 1 2.875 0
8 0 5 1 3.875 1 1 4.25 1
4 1 7.25 0 2.625 0 1 4.75 0
7 1 6 0 2.125 1 1 3.25 1
9 0 4.25 0 2.25 0 1 2.875 0
3 0 3.25 1 1.25 0 1 3 1
9 0 8 1 1 1 1 3 1
5 1 2.75 0 2.75 1 1 2.75 1
9 1 6.25 1 2.5 0 1 4.5 0
9 0 4.75 0 2.25 1 1 4.625 0
7 0 6 0 2.5 1 1 2.875 1
9 0 4 0 3.625 0 1 2.25 0
9 0 6.5 0 2.5 1 1 2.875 0
8 1 3.75 1 3 1 1 4.125 1
